ad_id,date,spend,impressions,clicks,installs,CTR,CPI,CPM,CPC,CVR,thumbstop_rate,hold_rate,completion_rate,card_swipe_rate,last_card_reach_rate,video_plays_25pct,video_plays_75pct,avg_play_time_sec,likes,comments,shares,saves
ad_001,2026-03-01,50.64,5987,215,44,0.03591,1.1509,8.4581,0.2355,0.20465,0.3517,0.5328,0.5915,,,1762,813,21.50,,,,
ad_001,2026-03-02,62.77,7358,247,62,0.03357,1.0124,8.5308,0.2541,0.25101,0.3284,0.4826,0.5929,,,2094,890,17.35,,,,
ad_001,2026-03-03,71.17,8184,321,66,0.03922,1.0783,8.6958,0.2217,0.20561,0.3488,0.5098,0.5806,,,2066,958,20.93,,,,
ad_001,2026-03-04,69.26,7344,304,61,0.04139,1.1355,9.4313,0.2278,0.20066,0.3548,0.4892,0.5777,,,2006,825,20.42,,,,
ad_001,2026-03-05,88.18,10266,430,87,0.04189,1.0136,8.5900,0.2051,0.20233,0.3573,0.4470,0.6013,,,2518,1109,16.93,,,,
ad_001,2026-03-06,82.59,10596,371,83,0.03501,0.9951,7.7944,0.2226,0.22372,0.3569,0.4609,0.5208,,,2924,1441,16.63,,,,
ad_001,2026-03-07,75.84,7503,294,56,0.03918,1.3543,10.1082,0.2580,0.19048,0.3509,0.5214,0.5679,,,2003,940,19.15,,,,
ad_001,2026-03-08,75.19,7853,295,63,0.03757,1.1935,9.5751,0.2549,0.21356,0.3411,0.5272,0.5693,,,2129,994,19.19,,,,
ad_001,2026-03-09,121.02,16639,686,163,0.04123,0.7424,7.2730,0.1764,0.23761,0.3893,0.4773,0.6161,,,4185,1927,18.40,,,,
ad_001,2026-03-10,101.41,10665,414,97,0.03882,1.0455,9.5087,0.2450,0.23430,0.3608,0.5280,0.5972,,,2953,1581,21.51,,,,
ad_001,2026-03-11,97.84,10113,359,69,0.03550,1.4179,9.6743,0.2725,0.19220,0.3813,0.5041,0.5966,,,2841,1256,20.57,,,,
ad_001,2026-03-12,93.41,11595,424,109,0.03657,0.8570,8.0561,0.2203,0.25708,0.3424,0.5059,0.5903,,,3028,1568,20.90,,,,
ad_001,2026-03-13,92.08,10849,403,92,0.03715,1.0008,8.4871,0.2285,0.22829,0.3644,0.5038,0.6171,,,2619,1125,19.46,,,,
ad_001,2026-03-14,101.34,10256,390,79,0.03803,1.2828,9.8813,0.2599,0.20256,0.3876,0.5087,0.6422,,,2750,1178,18.62,,,,
ad_001,2026-03-15,86.15,10308,383,76,0.03716,1.1336,8.3577,0.2249,0.19843,0.3710,0.5003,0.5977,,,2959,1342,18.02,,,,
ad_001,2026-03-16,105.21,12260,442,106,0.03605,0.9926,8.5819,0.2380,0.23982,0.3764,0.5095,0.5913,,,3320,1676,21.54,,,,
ad_001,2026-03-17,76.43,8736,368,86,0.04212,0.8887,8.7491,0.2077,0.23370,0.3633,0.5336,0.6605,,,2419,1122,19.97,,,,
ad_001,2026-03-18,110.77,11702,487,108,0.04162,1.0257,9.4663,0.2275,0.22177,0.3945,0.4989,0.5644,,,3131,1545,20.68,,,,
ad_001,2026-03-19,142.91,16260,643,165,0.03954,0.8661,8.7888,0.2222,0.25661,0.3514,0.5550,0.6199,,,4832,2267,22.60,,,,
ad_001,2026-03-20,126.11,15407,633,150,0.04109,0.8407,8.1852,0.1992,0.23697,0.3563,0.4740,0.5759,,,4462,2204,16.22,,,,
ad_001,2026-03-21,117.36,12358,545,117,0.04410,1.0031,9.4970,0.2153,0.21468,0.3978,0.4801,0.6326,,,3414,1607,19.97,,,,
ad_001,2026-03-22,122.87,13946,563,123,0.04037,0.9990,8.8107,0.2182,0.21847,0.3329,0.5106,0.6563,,,3806,1892,20.17,,,,
ad_001,2026-03-23,126.69,14593,579,139,0.03968,0.9114,8.6813,0.2188,0.24007,0.3998,0.4704,0.5520,,,4365,2223,19.29,,,,
ad_001,2026-03-24,137.16,15135,596,138,0.03938,0.9939,9.0625,0.2301,0.23154,0.3790,0.5605,0.5757,,,4591,2376,22.72,,,,
ad_001,2026-03-25,169.59,18553,673,162,0.03627,1.0469,9.1410,0.2520,0.24071,0.3969,0.5494,0.6316,,,5091,2493,23.74,,,,
ad_001,2026-03-26,142.97,14492,579,135,0.03995,1.0591,9.8656,0.2469,0.23316,0.3484,0.5738,0.6007,,,4053,2048,22.29,,,,
ad_001,2026-03-27,160.31,20072,821,196,0.04090,0.8179,7.9870,0.1953,0.23873,0.4041,0.4950,0.6462,,,5512,2132,20.96,,,,
ad_001,2026-03-28,118.83,12285,504,125,0.04103,0.9506,9.6725,0.2358,0.24802,0.3971,0.5333,0.5934,,,3194,1477,22.21,,,,
ad_001,2026-03-29,147.94,15218,590,128,0.03877,1.1558,9.7216,0.2508,0.21695,0.3705,0.5270,0.6203,,,3662,1807,19.98,,,,
ad_001,2026-03-30,185.33,22117,1038,222,0.04693,0.8348,8.3794,0.1785,0.21387,0.4020,0.4499,0.6622,,,5519,2844,16.87,,,,
ad_001,2026-03-31,135.10,13865,562,153,0.04053,0.8830,9.7441,0.2404,0.27224,0.3963,0.5942,0.6106,,,3871,1860,23.92,,,,
ad_001,2026-04-01,188.05,23033,871,221,0.03782,0.8509,8.1643,0.2159,0.25373,0.4000,0.4919,0.6105,,,7357,3335,20.01,,,,
ad_001,2026-04-02,170.93,20172,831,203,0.04120,0.8420,8.4735,0.2057,0.24428,0.3971,0.5060,0.6036,,,5446,2648,17.87,,,,
ad_001,2026-04-03,157.03,16696,684,159,0.04097,0.9876,9.4054,0.2296,0.23246,0.3868,0.5112,0.6372,,,4387,2128,20.75,,,,
ad_001,2026-04-04,177.49,19642,757,170,0.03854,1.0441,9.0363,0.2345,0.22457,0.3541,0.5427,0.6099,,,5628,2937,21.94,,,,
ad_001,2026-04-05,174.13,22264,808,197,0.03629,0.8839,7.8213,0.2155,0.24381,0.3301,0.5061,0.5978,,,5772,3199,19.42,,,,
ad_001,2026-04-06,198.46,21693,923,220,0.04255,0.9021,9.1485,0.2150,0.23835,0.3453,0.5047,0.5832,,,6394,3186,19.95,,,,
ad_001,2026-04-07,207.69,22061,958,243,0.04343,0.8547,9.4142,0.2168,0.25365,0.3510,0.5342,0.6276,,,6496,2770,22.93,,,,
ad_001,2026-04-08,177.66,18720,793,184,0.04236,0.9656,9.4905,0.2240,0.23203,0.3750,0.4812,0.6201,,,5369,2934,18.97,,,,
ad_001,2026-04-09,224.57,31577,1423,330,0.04506,0.6805,7.1118,0.1578,0.23190,0.3820,0.5589,0.6315,,,9022,4169,21.37,,,,
ad_001,2026-04-10,204.93,26788,1112,260,0.04151,0.7882,7.6502,0.1843,0.23381,0.3768,0.5767,0.6695,,,6610,3340,24.27,,,,
ad_001,2026-04-11,186.81,23342,1008,225,0.04318,0.8303,8.0033,0.1853,0.22321,0.3823,0.5683,0.6089,,,5899,2876,21.75,,,,
ad_001,2026-04-12,202.66,26124,1145,267,0.04383,0.7590,7.7575,0.1770,0.23319,0.3870,0.4870,0.6608,,,7973,4451,19.05,,,,
ad_001,2026-04-13,224.00,29725,1464,326,0.04925,0.6871,7.5357,0.1530,0.22268,0.3533,0.4726,0.6181,,,8538,4349,17.98,,,,
ad_001,2026-04-14,183.31,24205,1001,247,0.04136,0.7422,7.5734,0.1831,0.24675,0.3762,0.5577,0.5861,,,6723,3361,21.58,,,,
